ID,Name,Address,Coordinates,NumOfReview,Ratings,Zipcode,Cuisine
x0k5kFArHLijdY8-NEQ7Xg,Bengal Tiger Indian Food,"58 W 56th St, Fl 2, New York, NY 10019","40.763167, -73.977131",2147,4.5,10019,indian
m5Whyz8O8jM4DrE808h71g,Darbar Grill,"157 E 55th St, New York, NY 10022","40.759357, -73.968826",562,4.0,10022,indian
HEs6llkn3wIP1ATXeIZQew,Pippali,"129 E 27th St, New York, NY 10016","40.74233, -73.98331",836,4.0,10016,indian
QqrEF8_ZQCGi63cL10J5oA,Chola,"232 E 58th St, New York, NY 10022","40.76016, -73.96582",653,4.0,10022,indian
1_pK5aQ47atF50oAKHADhA,Indian Accent,"123 W 56th St, New York, NY 10019","40.7643344624229, -73.9787312885132",657,4.5,10019,indian
jYhbUh1TV7SCfPxjIhVpcg,Baar Baar,"13 E 1st St, New York, NY 10003","40.7244378855031, -73.9915524",1090,4.0,10003,indian
A-ert0jDRBfku9ogyW_mEg,Spice Symphony,"150 E 50th St, New York, NY 10022","40.7558937072754, -73.9715347290039",581,4.5,10022,indian
objNX6cuj1JyUijFjw21Qw,Bombay Bistro,"31 Cornelia St, New York, NY 10014","40.73136, -74.00253",238,4.5,10014,indian
z2VXX7wGl8XZ6_oo9W3koA,Patiala Indian Grill,"371 W 34th St, New York, NY 10001","40.7534700430117, -73.99595067259492",477,4.5,10001,indian
jf3JRaxUYU93x8LFU-8gkA,GupShup,"115 E18th St, New York, NY 10003","40.7368323318866, -73.9877132715179",523,4.0,10003,indian
RdETxi25tbocKIcMiW5TxQ,Darbar Fine Indian Cuisine,"152 E 46th St, New York, NY 10017","40.75358, -73.97348",584,4.0,10017,indian
15svH3HiVDwHMSIlRYpk6A,Ashoka Indian Restaurant,"489 Columbus Ave, New York, NY 10024","40.78477, -73.973027",312,4.5,10024,indian
NgD-6ogFGc_c4z5_Ur4k2g,Dhaba Indian Cuisine,"108 Lexington Ave, New York, NY 10016","40.742364, -73.982813",1550,3.5,10016,indian
t6PzD4uzBOfyCLcd_lT8cQ,Sathi,"216 3rd Ave, New York, NY 10003","40.73621, -73.98528",230,4.5,10003,indian
kS2CP48K66yL2TwIhUqy_A,Tamarind,"99 Hudson St, New York, NY 10013","40.71909, -74.00892",1050,4.0,10013,indian
ut-560tVcs2g-ZU0Y_qqHQ,Saar Indian Bistro,"241 W 51st St, New York, NY 10019","40.7626659, -73.9847093",297,4.5,10019,indian
ZikqL-flwV2XYlKtL2UfmA,Rangoli Exquisite Indian Cuisine,"1393 A 2nd Ave, New York, NY 10021","40.7693, -73.95823",483,4.5,10021,indian
Txm8KtUh9Mn2E7980jTr5g,Dhamaka,"119 Delancey St, Essex Market, Store  34, New York, NY 10002","40.7180658, -73.9881304",253,4.0,10002,indian
Xqk91WuhMeYS4pedccUYgA,Gazab,"179 Essex St, New York, NY 10002","40.72191, -73.98666",132,4.5,10002,indian
dOQjniOt57mI9l9CmrCSJQ,Curry India,"148 W 49th St, New York, NY 10019","40.76006, -73.98306",175,4.0,10019,indian
raGF9jAO7JOiIbFQ2_bTAg,India at Time Square,"332 W 44th St, New York, NY 10036","40.75941459798258, -73.99145881962656",85,4.5,10036,indian
Xl-zlT0NLLiKhym88em22w,Adda Indian Canteen,"31-31 Thomson Ave, Long Island City, NY 11101","40.745011, -73.934243",500,4.0,11101,indian
u_CnSp9FieAuWqhvCn-A2A,Spice Mantra,"1047 2nd Ave, New York, NY 10022","40.75825, -73.96633",33,5.0,10022,indian
7USPKYeaAfxl0Ch9j_1l7A,Moti Mahal Delux,"1149 1st Ave, New York, NY 10065","40.76213, -73.9605",535,4.0,10065,indian
3hlAeWgSKAnSQ1tg8k8D8g,Alachi Masala,"488 Amsterdam Ave, New York, NY 10024","40.786196, -73.976448",248,4.0,10024,indian
guwS_mhhUjOT5d8sYfEluQ,Adyar Ananda Bhavan,"1071 1st Ave, New York, NY 10022","40.759381, -73.962489",367,3.5,10022,indian
CEdTPBK6HBjpUP_zLDdrlQ,SONA,"36 East 20th St, New York, NY 10003","40.73861, -73.98864",265,3.0,10003,indian
FXDMFBM-rV2s5MHzA33d2g,Bombay Grill House,"764 9th Ave, New York, NY 10019","40.76415, -73.98806",296,4.0,10019,indian
qhXIW0LDT4XsoN2IE6dZHg,Ahimsa,"204 E 38th St, New York, NY 10016","40.7478959, -73.9758638",179,4.5,10016,indian
9pMhRYYgV7E9L7pzECtJKA,The Drunken Munkey - UES,"338 E 92nd St, New York, NY 10128","40.78098, -73.94751",1205,4.5,10128,indian
50eKjWOB-H9iuo1ocACOaQ,Imli Urban Indian Food,"1136 1st Ave, New York, NY 10065","40.7616660604253, -73.9601389691234",229,4.5,10065,indian
ECUTH1VOWxZ9GwfzblMKzA,Mughlai Indian Cuisine,"255 W 55th St, New York, NY 10019","40.765394, -73.983272",131,4.5,10019,indian
NVMdf02l1GuzzDb7ESI_qQ,Taste From Everest,"102 Lexington Ave, New York, NY 10016","40.7422712, -73.9830327",55,4.5,10016,indian
izRJeBfDQYJmd6ibIQ6Mfg,Mughlai Indian Cuisine,"1724 2nd Ave, New York, NY 10128","40.78002, -73.94978",573,4.5,10128,indian
3uEkZEAp7biQEtt0S7W1Vg,Vatan Indian Vegetarian,"409 3rd Ave, New York, NY 10016","40.74236, -73.9803699",751,4.0,10016,indian
jvPYm9rYK-5ddnjU30Oz4Q,Avant Garden,"130 E 7th St, New York, NY 10009","40.7261499, -73.98402",394,4.5,10009,indian
XKy4Cy4uNgO7rxhH4yFJQQ,Mughlai Indian Cuisine,"329 3rd Ave, New York, NY 10010","40.739692, -73.982116",434,4.0,10010,indian
7DUPGtHqVZHJ3yIufbWLsg,Malai Marke Indian Cuisine,"318 E 6th St, New York, NY 10003","40.726934, -73.98758",622,4.0,10003,indian
wm10mMj_41_-l_gRhRH3TA,deep indian kitchen - indikitch,"940 8th Ave, New York, NY 10019","40.76573, -73.98338",478,4.0,10019,indian
_PAMFizVae51vlVYHy3dxQ,Sapphire,"2014 Broadway, New York, NY 10023","40.77582, -73.98188",24,4.0,10023,indian
_R6EjbrynW_LFnmWoRqgww,Surya - Madam Ji,"154 Bleecker St, New York, NY 10012","40.728186, -73.999436",272,3.5,10012,indian
RARUAVWONyRQovr0D6TGQg,Baazi,"2588 Broadway, New York, NY 10025","40.7955035, -73.9708505",40,4.0,10025,indian
IU6pOHR8Re8kvSn0mzhPHg,Jaz Indian Cuisine,"813 Ninth Ave, New York, NY 10019","40.7659, -73.98741",72,4.5,10019,indian
w2-VGvlBCMYo9ko8Y_PzAw,Masala King,"64 E 34th St, New York, NY 10016","40.747176, -73.981957",246,4.0,10016,indian
lxNU-aBq0yPwBDx-i89ahA,Seva Indian Cuisine,"34-11 30th Ave, Astoria, NY 11103","40.76571, -73.91839",1367,4.5,11103,indian
_7BGw3YFNOTzP1Www3zB7g,Mughlai Grill,"6 Clinton St, New York, NY 10002","40.7210905, -73.9840446",454,4.5,10002,indian
BPyt7S9TdcR1u571iacg7g,The Kati Roll Company,"49 W 39th St, New York, NY 10018","40.752819, -73.984587",1617,3.5,10018,indian
1KGvtMU7VBcdlvxo2brdQg,Clove Indian Restaurant & Bar,"1592 Amsterdam Ave, New York, NY 10031","40.8212624, -73.9506836",319,4.0,10031,indian
iXSuNKKUBIrBX7zUerlQDQ,Benares,"45 Murray St, New York, NY 10007","40.71415, -74.009209",594,4.0,10007,indian
Va_mnsEvBghHXvc7uZIWJQ,Spice Symphony,"182 Lexington Ave, New York, NY 10016","40.744722, -73.981202",640,4.0,10016,indian
sCHiXF4mZcsiY8_cBHNiqw,deep indian kitchen - indikitch,"25 W 23rd St, New York, NY 10010","40.7422142028809, -73.9904403686523",718,4.0,10010,indian
FvnExtQHPfz_crDCBTQ1iQ,Mint Masala,"95 Macdougal St, New York, NY 10012","40.729513, -74.001138",337,4.0,10012,indian
eTzH9lmkmouNlmuJ77i8Ow,Angaar,"283 Columbus Ave, New York, NY 10023","40.7782, -73.97802",172,4.0,10023,indian
GaxVczLK1qUuJHOP9VcFsQ,Ananda,"210 Thompson St, New York, NY 10012","40.728724, -73.999147",368,4.0,10012,indian
5faOK0osoS-zdEwT21S-Cg,Saravanaa Bhavan,"413 Amsterdam Ave, New York, NY 10024","40.7835899, -73.97777",392,3.0,10024,indian
UiG3MlLDMMZp31XDBM2kvA,Karahi Indian Cuisine,"803 9th Ave, New York, NY 10019","40.765667, -73.987595",83,4.5,10019,indian
zVLG_O3AQnvQ53PSJ5mTMA,Om,"1531 81st St York Ave, New York, NY 10028","40.77273, -73.94978",522,4.0,10028,indian
m9Q9x-Hcxp24gZCaTTJY-A,Sahib,"104 Lexington Ave, New York, NY 10016","40.74232, -73.9830099",268,4.0,10016,indian
tN37MOvqzrmpU0h0PfoDmw,Utsav,"1185 Avenue Of The Americas Plz, New York, NY 10036","40.75791, -73.9825",569,3.5,10036,indian
-yqnpiwcyNyn0N8QHFX2FQ,The Gully,"25-45 Steinway St, Astoria, NY 11103","40.766743, -73.912307",267,4.0,11103,indian
GNPne4Il-itbn2sLbvMo1g,Angel Indian Restaurant,"7414 37th Rd, Jackson Heights, NY 11372","40.7473069226623, -73.8912814123575",254,4.5,11372,indian
xWUL-j6TQyKQHIfOtetu-Q,HanGawi,"12 E 32nd St, New York, NY 10016","40.746612323020926, -73.98476051936564",1297,4.0,10016,indian
Bb0h5Rs8ugSM2CjulRhfBw,Spicy Moon East Village,"328 E 6th St, New York, NY 10003","40.72674, -73.98722",537,4.5,10003,indian
V2oWqXcoJkgGeIPOaS9eDA,Masala Times Greenwich Village,"194 Bleecker St, New York, NY 10012","40.7292728223798, -74.0015978515206",564,4.0,10012,indian
NKI1VvfXYluRjnq4S6yEuw,Divya's Kitchen,"25 1st Ave, New York, NY 10003","40.72378, -73.98849",439,4.5,10003,indian
Z_fT0KLZV3y80LHUMlmbig,Khiladi NYC,"175 Avenue B, New York, NY 10009","40.727536, -73.97926",176,4.5,10009,indian
_Hig4rf_SEAhq13eBdJ4CQ,Kismat Indian Restaurant,"603 Fort Washington Ave, New York, NY 10040","40.8553, -73.937",382,3.5,10040,indian
iYh7mB7PDd5ZvZZ4lFPF1w,Anand Indian Cuisine,"304 E 78th St, New York, NY 10075","40.77232, -73.955241",152,4.0,10075,indian
nd0uXNXaeaDMuMk4C1GusA,Bukhara Grill:Indian Spice Rave,"217 E 49th St, New York, NY 10017","40.75501, -73.97028",548,3.5,10017,indian
fCxjrytrEw_l9vGjSCzszg,Paisley,"429 Greenwich St, New York, NY 10013","40.722387, -74.0095662",78,4.5,10013,indian
KXD44wWmrGf7mzyyr0bikw,P.S. Kitchen,"246 W 48th St, New York, NY 10036","40.760706, -73.986627",586,4.0,10036,indian
_-EQR2vNYg-b1eZwAgp6JQ,Tanoreen,"7523 3rd Ave, Brooklyn, NY 11209","40.6308, -74.02775",965,4.0,11209,indian
